invoice_id,client_id,matter_id,invoice_status_before,invoice_amount,payment_count,total_received,invoice_excess_total,payment_sequence,payment_id,payment_date,payment_method,payment_reference,original_payment_amount,invoice_allocation_amount,client_credit_amount,reason_code,recommended_action,resolution_status,review_notes
671,122,930,failed,87746.14,4,104526.81,16780.67,2,639,2025-07-05,card,26-597-2257,43014.15,43014.15,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
671,122,930,failed,87746.14,4,104526.81,16780.67,3,590,2026-07-01,google_wallet,38-283-5960,35816.34,35816.34,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
671,122,930,failed,87746.14,4,104526.81,16780.67,4,173,2026-09-12,apple_pay,91-331-6930,21785.72,5005.05,16780.67,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
570,637,70,paid,50663.50,2,67382.45,16718.95,1,192,2020-04-26,online_payment,86-129-0087,44448.16,44448.16,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
570,637,70,paid,50663.50,2,67382.45,16718.95,2,73,2023-09-28,bank_transfer,78-375-9737,22934.29,6215.34,16718.95,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
627,829,353,paid,41961.64,2,58131.45,16169.81,1,695,2023-12-24,paypal,66-561-8809,30668.39,30668.39,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
627,829,353,paid,41961.64,2,58131.45,16169.81,2,200,2026-09-12,card,09-787-0299,27463.06,11293.25,16169.81,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
766,394,620,paid,25807.42,2,41855.05,16047.63,1,100,2025-12-13,apple_pay,38-811-4353,8025.18,8025.18,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
766,394,620,paid,25807.42,2,41855.05,16047.63,2,913,2025-12-13,paypal,38-922-7393,33829.87,17782.24,16047.63,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
917,995,226,paid,72197.87,3,87388.01,15190.14,1,54,2024-08-13,bitcoin,93-838-8939,20653.06,20653.06,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
917,995,226,paid,72197.87,3,87388.01,15190.14,2,404,2025-10-14,google_wallet,44-945-8475,49423.47,49423.47,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
917,995,226,paid,72197.87,3,87388.01,15190.14,3,832,2026-09-12,paypal,17-906-1727,17311.48,2121.34,15190.14,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
237,433,65,unpaid,18331.00,2,33294.30,14963.30,1,195,2018-12-10,bank_transfer,29-938-3776,33216.92,18331.00,14885.92,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
237,433,65,unpaid,18331.00,2,33294.30,14963.30,2,714,2018-12-10,google_wallet,72-368-0430,77.38,0.00,77.38,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
811,86,434,failed,28764.95,1,43604.75,14839.80,1,472,2026-09-12,online_payment,74-168-6289,43604.75,28764.95,14839.80,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
911,776,454,not_processed,12862.33,1,27416.84,14554.51,1,15,2024-08-07,bank_transfer,34-798-2942,27416.84,12862.33,14554.51,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
458,660,84,unpaid,63868.31,2,77478.76,13610.45,1,117,2024-05-30,cash,96-718-7899,34658.41,34658.41,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
458,660,84,unpaid,63868.31,2,77478.76,13610.45,2,952,2025-08-18,online_payment,09-171-8229,42820.35,29209.90,13610.45,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
279,1000,66,unpaid,52487.49,2,65921.20,13433.71,1,535,2022-12-27,paypal,41-446-7770,41841.14,41841.14,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
279,1000,66,unpaid,52487.49,2,65921.20,13433.71,2,666,2023-10-01,online_payment,76-978-7142,24080.06,10646.35,13433.71,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
739,14,15,failed,12803.54,1,26009.15,13205.61,1,625,2026-09-12,apple_pay,04-101-9849,26009.15,12803.54,13205.61,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
83,273,511,unpaid,14457.61,2,27155.29,12697.68,1,121,2023-03-30,apple_pay,07-267-3150,11962.28,11962.28,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
83,273,511,unpaid,14457.61,2,27155.29,12697.68,2,997,2025-11-27,venmo,25-250-0057,15193.01,2495.33,12697.68,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
853,312,226,failed,35914.26,1,48134.55,12220.29,1,537,2026-09-12,card,40-851-0013,48134.55,35914.26,12220.29,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
773,288,256,paid,59165.59,2,71077.48,11911.89,1,646,2020-04-28,online_payment,65-418-1011,41530.26,41530.26,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
773,288,256,paid,59165.59,2,71077.48,11911.89,2,517,2026-09-12,venmo,00-336-6749,29547.22,17635.33,11911.89,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
315,915,708,not_processed,48894.97,2,60717.00,11822.03,1,579,2019-04-21,paypal,97-272-5536,29395.80,29395.80,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
315,915,708,not_processed,48894.97,2,60717.00,11822.03,2,193,2026-09-12,google_wallet,24-583-8197,31321.20,19499.17,11822.03,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
148,975,452,paid,92801.74,3,104506.79,11705.05,1,430,2026-07-10,online_payment,33-078-4774,41814.98,41814.98,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
148,975,452,paid,92801.74,3,104506.79,11705.05,2,847,2026-07-10,online_payment,31-348-1616,27850.15,27850.15,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
148,975,452,paid,92801.74,3,104506.79,11705.05,3,899,2026-09-12,online_payment,06-462-6096,34841.66,23136.61,11705.05,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
5,80,158,paid,81378.06,2,92980.35,11602.29,1,72,2026-07-28,paypal,64-075-0669,46764.91,46764.91,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
5,80,158,paid,81378.06,2,92980.35,11602.29,2,512,2026-07-28,cash,51-785-4454,46215.44,34613.15,11602.29,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
808,357,938,failed,19987.71,1,31176.26,11188.55,1,608,2019-06-28,venmo,47-686-3211,31176.26,19987.71,11188.55,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
977,665,78,paid,50272.60,3,61161.61,10889.01,1,76,2021-06-15,cash,46-098-6224,10811.45,10811.45,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
977,665,78,paid,50272.60,3,61161.61,10889.01,2,248,2021-06-15,bitcoin,46-625-5405,16096.82,16096.82,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
977,665,78,paid,50272.60,3,61161.61,10889.01,3,896,2021-06-15,card,05-097-4811,34253.34,23364.33,10889.01,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
864,902,467,unpaid,30345.42,1,40407.36,10061.94,1,124,2026-09-12,google_wallet,31-952-7105,40407.36,30345.42,10061.94,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
816,783,645,paid,1684.37,1,11593.40,9909.03,1,169,2026-04-07,cash,46-953-1837,11593.40,1684.37,9909.03,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
256,604,222,paid,45985.64,3,55663.38,9677.74,1,161,2018-03-24,card,88-916-8542,6432.61,6432.61,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
256,604,222,paid,45985.64,3,55663.38,9677.74,2,704,2018-03-24,card,30-906-3553,13323.66,13323.66,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
256,604,222,paid,45985.64,3,55663.38,9677.74,3,94,2021-07-04,card,55-609-7461,35907.11,26229.37,9677.74,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
791,668,708,failed,8323.58,1,17298.91,8975.33,1,589,2020-12-07,card,19-668-8363,17298.91,8323.58,8975.33,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
52,675,781,paid,14866.12,1,23650.12,8784.00,1,742,2025-08-24,card,65-053-5747,23650.12,14866.12,8784.00,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
509,399,348,not_processed,29682.75,1,38068.43,8385.68,1,191,2024-07-13,apple_pay,99-637-5813,38068.43,29682.75,8385.68,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
487,647,826,failed,83774.02,4,91922.69,8148.67,1,212,2020-03-16,card,82-111-6490,41522.01,41522.01,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
487,647,826,failed,83774.02,4,91922.69,8148.67,2,954,2020-10-13,venmo,08-668-4578,23027.04,23027.04,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
487,647,826,failed,83774.02,4,91922.69,8148.67,3,396,2026-09-12,online_payment,41-406-0172,4497.96,4497.96,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
487,647,826,failed,83774.02,4,91922.69,8148.67,4,412,2026-09-12,card,02-155-8706,22875.68,14727.01,8148.67,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
33,485,940,not_processed,16447.27,1,24401.63,7954.36,1,373,2026-05-31,apple_pay,49-841-2824,24401.63,16447.27,7954.36,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
184,181,838,unpaid,29209.77,1,37122.46,7912.69,1,146,2025-01-15,paypal,87-534-2134,37122.46,29209.77,7912.69,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
623,830,878,unpaid,9864.44,1,17279.47,7415.03,1,987,2026-09-12,paypal,94-130-7096,17279.47,9864.44,7415.03,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
188,858,173,unpaid,41342.79,2,48719.13,7376.34,1,735,2025-11-12,venmo,53-108-2812,34835.82,34835.82,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
188,858,173,unpaid,41342.79,2,48719.13,7376.34,2,813,2026-09-12,cash,74-568-6549,13883.31,6506.97,7376.34,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
619,141,145,unpaid,44836.38,2,51872.20,7035.82,1,96,2026-06-21,card,18-532-3413,30735.22,30735.22,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
619,141,145,unpaid,44836.38,2,51872.20,7035.82,2,48,2026-09-12,card,15-696-9975,21136.98,14101.16,7035.82,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
506,716,482,not_processed,43784.10,2,50089.24,6305.14,1,685,2018-12-31,bank_transfer,40-949-2731,11960.38,11960.38,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
506,716,482,not_processed,43784.10,2,50089.24,6305.14,2,701,2026-09-12,bank_transfer,13-097-0229,38128.86,31823.72,6305.14,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
950,256,345,unpaid,23029.71,1,29326.34,6296.63,1,480,2024-08-13,venmo,26-181-2448,29326.34,23029.71,6296.63,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
803,518,29,unpaid,15404.29,1,20818.28,5413.99,1,493,2026-03-18,cash,84-112-3597,20818.28,15404.29,5413.99,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
162,892,607,not_processed,43039.64,1,48332.37,5292.73,1,341,2026-09-12,card,31-382-1889,48332.37,43039.64,5292.73,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
26,240,931,not_processed,2011.52,1,7125.87,5114.35,1,163,2022-01-16,google_wallet,14-848-8652,7125.87,2011.52,5114.35,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
50,748,314,unpaid,142083.68,5,145569.55,3485.87,1,41,2024-09-18,google_wallet,03-646-4616,46309.55,46309.55,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
50,748,314,unpaid,142083.68,5,145569.55,3485.87,2,370,2024-09-18,online_payment,93-420-7430,41355.63,41355.63,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
50,748,314,unpaid,142083.68,5,145569.55,3485.87,3,417,2024-09-18,apple_pay,41-243-0538,47822.92,47822.92,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
50,748,314,unpaid,142083.68,5,145569.55,3485.87,4,821,2024-09-18,cash,94-848-3829,2116.04,2116.04,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
50,748,314,unpaid,142083.68,5,145569.55,3485.87,5,904,2024-09-18,bank_transfer,31-368-8103,7965.41,4479.54,3485.87,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
638,346,707,unpaid,42548.53,2,45832.48,3283.95,1,226,2021-08-18,online_payment,05-797-4233,30385.45,30385.45,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
638,346,707,unpaid,42548.53,2,45832.48,3283.95,2,127,2026-09-12,cash,09-095-2891,15447.03,12163.08,3283.95,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
863,620,111,not_processed,18202.10,1,21185.53,2983.43,1,908,2026-09-08,card,90-538-3507,21185.53,18202.10,2983.43,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
318,459,76,not_processed,28077.06,1,31059.25,2982.19,1,705,2019-06-25,google_wallet,16-919-2542,31059.25,28077.06,2982.19,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
411,997,973,paid,143521.31,4,145867.59,2346.28,1,203,2021-02-26,cash,26-740-0618,17825.40,17825.40,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
411,997,973,paid,143521.31,4,145867.59,2346.28,2,499,2021-04-16,paypal,00-197-8281,33887.03,33887.03,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
411,997,973,paid,143521.31,4,145867.59,2346.28,3,902,2025-08-04,venmo,78-541-1585,48909.30,48909.30,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
411,997,973,paid,143521.31,4,145867.59,2346.28,4,988,2026-05-04,paypal,23-076-5097,45245.86,42899.58,2346.28,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
675,660,29,paid,37609.35,1,39874.87,2265.52,1,601,2022-04-08,bank_transfer,83-679-3276,39874.87,37609.35,2265.52,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
571,488,772,not_processed,93843.20,3,95280.44,1437.24,1,178,2018-07-08,card,07-495-9553,29292.71,29292.71,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
571,488,772,not_processed,93843.20,3,95280.44,1437.24,2,403,2018-07-08,cash,06-503-7715,18858.36,18858.36,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
571,488,772,not_processed,93843.20,3,95280.44,1437.24,3,688,2026-09-12,card,77-747-7160,47129.37,45692.13,1437.24,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
111,97,156,failed,62895.95,2,64321.91,1425.96,1,353,2022-04-04,apple_pay,23-089-2206,15352.16,15352.16,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
111,97,156,failed,62895.95,2,64321.91,1425.96,2,942,2023-07-05,apple_pay,81-391-7195,48969.75,47543.79,1425.96,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
800,857,322,failed,24694.11,1,25992.55,1298.44,1,748,2023-11-17,bank_transfer,95-573-2236,25992.55,24694.11,1298.44,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
214,14,701,failed,36481.46,2,37274.31,792.85,1,485,2024-02-02,card,69-861-4420,13807.89,13807.89,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
214,14,701,failed,36481.46,2,37274.31,792.85,2,676,2026-09-12,cash,41-900-5885,23466.42,22673.57,792.85,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
